,lpep_pickup_datetime,lpep_dropoff_datetime,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,total_amount,payment_type,trip_type,congestion_surcharge,taxi_type
159,2023-01-01 02:06:14,2023-01-01 02:18:33,41,116,6.0,2.18,10.5,0.5,0.5,2.36,0.0,,14.16,1.0,1.0,0.0,green_taxi
160,2023-01-01 02:24:20,2023-01-01 02:44:17,152,223,6.0,5.52,19.5,0.5,0.5,8.2,6.55,,35.55,1.0,1.0,0.0,green_taxi
161,2023-01-01 02:36:37,2023-01-01 02:50:37,7,226,2.0,2.57,15.6,1.0,0.5,3.62,0.0,,21.72,1.0,1.0,0.0,green_taxi
162,2023-01-01 02:29:37,2023-01-01 02:53:27,223,56,1.0,4.38,24.0,1.0,0.5,0.0,0.0,,26.5,2.0,1.0,0.0,green_taxi
163,2023-01-01 01:59:48,2023-01-01 01:59:51,36,36,2.0,0.09,100.0,0.0,0.0,20.06,0.0,,120.36,1.0,2.0,0.0,green_taxi
164,2023-01-01 02:35:05,2023-01-01 03:00:20,7,129,1.0,6.03,30.3,1.0,0.5,0.0,0.0,,32.8,2.0,1.0,0.0,green_taxi
165,2023-01-01 02:28:55,2023-01-01 02:39:48,75,143,1.0,3.03,15.6,1.0,0.5,3.75,0.0,,24.6,1.0,1.0,2.75,green_taxi
166,2023-01-01 02:37:12,2023-01-01 02:37:15,51,264,3.0,0.0,40.0,0.0,0.0,0.0,0.0,,41.0,1.0,2.0,0.0,green_taxi
167,2023-01-01 02:07:32,2023-01-01 02:19:23,145,112,1.0,2.09,14.2,1.0,0.5,3.34,0.0,,20.04,1.0,1.0,0.0,green_taxi
168,2023-01-01 02:28:59,2023-01-01 02:54:50,112,114,1.0,4.87,40.0,0.0,0.0,8.75,0.0,,52.5,1.0,2.0,2.75,green_taxi
169,2023-01-01 02:50:02,2023-01-01 02:50:27,157,157,1.0,0.0,3.0,1.0,0.5,15.2,0.0,,20.0,1.0,1.0,0.0,green_taxi
170,2023-01-01 02:09:49,2023-01-01 02:16:19,95,95,1.0,1.33,9.3,1.0,0.5,0.0,0.0,,11.8,2.0,1.0,0.0,green_taxi
171,2023-01-01 02:47:27,2023-01-01 02:53:31,168,168,1.0,0.47,10.0,0.0,0.0,0.0,0.0,,11.0,1.0,2.0,0.0,green_taxi
172,2023-01-01 02:59:41,2023-01-01 03:17:21,97,229,1.0,7.33,31.7,1.0,0.5,9.24,0.0,,46.19,1.0,1.0,2.75,green_taxi
173,2023-01-01 02:37:12,2023-01-01 02:37:15,260,264,1.0,0.0,20.0,0.0,0.0,4.2,0.0,,25.2,1.0,2.0,0.0,green_taxi
174,2023-01-01 02:42:06,2023-01-01 02:50:38,43,161,1.0,3.19,14.2,1.0,0.5,3.75,0.0,,22.5,1.0,1.0,2.75,green_taxi
175,2023-01-01 02:42:25,2023-01-01 03:01:16,256,189,1.0,3.63,20.5,1.0,0.5,0.0,0.0,,23.0,2.0,1.0,0.0,green_taxi
176,2023-01-01 02:04:21,2023-01-01 02:09:59,25,54,1.0,1.11,7.9,1.0,0.5,0.0,0.0,,10.4,2.0,1.0,0.0,green_taxi
177,2023-01-01 02:47:09,2023-01-01 03:00:57,25,112,1.0,4.7,21.9,1.0,0.5,0.0,0.0,,24.4,1.0,1.0,0.0,green_taxi
178,2023-01-01 02:18:44,2023-01-01 02:28:31,42,75,5.0,1.78,12.1,1.0,0.5,0.0,0.0,,14.6,1.0,1.0,0.0,green_taxi
